Player Name,Fantasy Team,POS,TEAM,SLOT,PROJ,FPTS,Week,Year
Harrison Butker,Team Loomis,K,,K,,6,3,2021
Patrick Mahomes,Team Piazza,QB,,QB,,22.9,3,2021
Jonathan Taylor,Team Piazza,RB,,RB,,8.2,3,2021
Kareem Hunt,Team Piazza,RB,,RB,,27.5,3,2021
Davante Adams,Team Piazza,WR,,WR,,31.2,3,2021
Robert Woods,Team Piazza,WR,,WR,,6.8,3,2021
Mark Andrews,Team Piazza,TE,,TE,,15.9,3,2021
Antonio Gibson,Team Shamas,RB,,FLEX,,18.5,15,2021
Raiders,Team Piazza,D/ST,,D/ST,,4,3,2021
Justin Tucker,Team Piazza,K,,K,,17,3,2021
Justin Herbert,Team Graver,QB,,QB,,30.84,3,2021
Ezekiel Elliott,Team Graver,RB,,RB,,26.6,3,2021
Clyde Edwards-Helaire,Team Graver,RB,,RB,,16.9,3,2021
Marquise Brown,Team Graver,WR,,WR,,8.3,3,2021
Courtland Sutton,Team Graver,WR,,WR,,8.7,3,2021
Darren Waller,Team Graver,TE,,TE,,10.4,3,2021
Deebo Samuel,Team Graver,WR,,FLEX,,10.2,3,2021
Patriots,Team Graver,D/ST,,D/ST,,5,3,2021
Matt Prater,Team Graver,K,,K,,6,3,2021
Josh Allen,Team Dupre,QB,,QB,,20.02,4,2021
Nick Chubb,Team Dupre,RB,,RB,,11.5,4,2021
Chase Edmonds,Team Dupre,RB,,RB,,17.9,4,2021
Terry McLaurin,Team Dupre,WR,,WR,,30.3,4,2021
Adam Thielen,Team Dupre,WR,,WR,,7.6,4,2021
Kyle Pitts,Team Dupre,TE,,TE,,9,4,2021
Tee Higgins,Team Dupre,WR,,FLEX,,0,4,2021
Bills,Team Dupre,D/ST,,D/ST,,21,4,2021
Younghoe Koo,Team Dupre,K,,K,,6,4,2021
Tom Brady,Team Chasse,QB,,QB,,11.06,4,2021
Derrick Henry,Team Chasse,RB,,RB,,25.7,4,2021
Najee Harris,Team Chasse,RB,,RB,,21.1,4,2021
Brandin Cooks,Team Chasse,WR,,WR,,9.7,4,2021
Mike Williams,Team Chasse,WR,,WR,,2.1,4,2021
Noah Fant,Team Chasse,TE,,TE,,16.6,4,2021
Chris Godwin,Team Chasse,WR,,FLEX,,8.5,4,2021
Titans,Team Chasse,D/ST,,D/ST,,2,4,2021
Graham Gano,Team Chasse,K,,K,,7,4,2021
Dak Prescott,Team Perrotti,QB,,QB,,27.02,4,2021
Austin Ekeler,Team Perrotti,RB,,RB,,29.5,4,2021
Joe Mixon,Team Perrotti,RB,,RB,,13.7,4,2021
Allen Robinson II,Team Perrotti,WR,,WR,,9.3,4,2021
Justin Jefferson,Team Perrotti,WR,,WR,,20.4,4,2021
Logan Thomas,Team Perrotti,TE,,TE,,0,4,2021
Chuba Hubbard,Team Perrotti,RB,,FLEX,,9.1,4,2021
Saints,Team Perrotti,D/ST,,D/ST,,-3,4,2021
Greg Zuerlein,Team Perrotti,K,,K,,6,4,2021
Matthew Stafford,Team Sachs,QB,,QB,,19.3,4,2021
Aaron Jones,Team Sachs,RB,,RB,,10.9,4,2021
Jamaal Williams,Team Sachs,RB,,RB,,6.6,4,2021
Cooper Kupp,Team Sachs,WR,,WR,,11.4,4,2021
Amari Cooper,Team Sachs,WR,,WR,,15.9,4,2021
T.J. Hockenson,Team Sachs,TE,,TE,,8.2,4,2021
Mike Evans,Team Sachs,WR,,FLEX,,14.5,4,2021
Dolphins,Team Sachs,D/ST,,D/ST,,4,4,2021
Matt Gay,Team Sachs,K,,K,,8,4,2021
Jalen Hurts,Team Acquarulo,QB,,QB,,28.18,4,2021
D'Andre Swift,Team Acquarulo,RB,,RB,,8.9,4,2021
David Montgomery,Team Acquarulo,RB,,RB,,22.6,4,2021
DJ Moore,Team Acquarulo,WR,,WR,,31.9,4,2021
Calvin Ridley,Team Acquarulo,WR,,WR,,15,4,2021
George Kittle,Team Acquarulo,TE,,TE,,8,4,2021
Saquon Barkley,Team Acquarulo,RB,,FLEX,,29.6,4,2021
Colts,Team Acquarulo,D/ST,,D/ST,,10,4,2021
Brandon McManus,Team Acquarulo,K,,K,,1,4,2021
Russell Wilson,Team Shamas,QB,,QB,,22.56,4,2021
Dalvin Cook,Team Shamas,RB,,RB,,6.4,4,2021
