Team,Points For,Opposing Team,Points Against,Win,Loss,Week,Year,Matchup Type
The DakStreet Boys,98.58,Najee Germany,144,0,1,13,2022,Regular Season
Dave Sucks,126.28,The DakStreet Boys,111.16,1,0,14,2022,Regular Season
Dylan ate my Fantasy Points,125.46,My Boy,102.46,1,0,14,2022,Regular Season
Justin Jefferson,129.58,PEDeAndre Hopkins,91.94,1,0,14,2022,Regular Season
Justin is Brown,98.98,Najee Germany,121.18,0,1,14,2022,Regular Season
My Boy,102.46,Dylan ate my Fantasy Points,125.46,0,1,14,2022,Regular Season
Najee Germany,121.18,Justin is Brown,98.98,1,0,14,2022,Regular Season
PEDeAndre Hopkins,91.94,Justin Jefferson,129.58,0,1,14,2022,Regular Season
Scammer got Scammed,119.86,Silence D at work,132.28,0,1,14,2022,Regular Season
Silence D at work,132.28,Scammer got Scammed,119.86,1,0,14,2022,Regular Season
The DakStreet Boys,111.16,Dave Sucks,126.28,0,1,14,2022,Regular Season
Dave Sucks,113.94,Justin Jefferson,166.16,0,1,15,2022,Quarterfinals
Justin Jefferson,166.16,Dave Sucks,113.94,1,0,15,2022,Quarterfinals
My Boy,98.82,Scammer got Scammed,137.7,0,1,15,2022,Quarterfinals
Scammer got Scammed,137.7,My Boy,98.82,1,0,15,2022,Quarterfinals
Justin Jefferson,148.88,PEDeAndre Hopkins,103.16,1,0,16,2022,Semifinals
PEDeAndre Hopkins,103.16,Justin Jefferson,148.88,0,1,16,2022,Semifinals
Scammer got Scammed,112,Silence D at work,164.5,0,1,16,2022,Semifinals
Silence D at work,164.5,Scammer got Scammed,112,1,0,16,2022,Semifinals
Justin Jefferson,117.6,Silence D at work,85.16,1,0,17,2022,Finals
PEDeAndre Hopkins,52.7,Scammer got Scammed,99.7,0,1,17,2022,Third Place
Scammer got Scammed,99.7,PEDeAndre Hopkins,52.7,1,0,17,2022,Third Place
Silence D at work,85.16,Justin Jefferson,117.6,0,1,17,2022,Finals
Chase-ing Young Children,108.26,Cup of Joe,115.66,0,1,1,2023,Regular Season
Cup of Joe,115.66,Chase-ing Young Children,108.26,1,0,1,2023,Regular Season
Jah is gay,88.24,Mr. FigureItOut,129.24,0,1,1,2023,Regular Season
Mr. FigureItOut,129.24,Jah is gay,88.24,1,0,1,2023,Regular Season
My digg hurts,138.7,Riley Reid Option,76.08,1,0,1,2023,Regular Season
